,subset,image
12,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.450501966058662668272378865145.mhd
13,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.317087518531899043292346860596.mhd
14,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.277445975068759205899107114231.mhd
15,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.826812708000318290301835871780.mhd
16,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.124154461048929153767743874565.mhd
17,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.216882370221919561230873289517.mhd
18,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.109002525524522225658609808059.mhd
19,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.417815314896088956784723476543.mhd
20,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.138080888843357047811238713686.mhd
21,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.525937963993475482158828421281.mhd
22,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.511347030803753100045216493273.mhd
23,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.430109407146633213496148200410.mhd
24,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.111172165674661221381920536987.mhd
25,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.334517907433161353885866806005.mhd
26,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.752756872840730509471096155114.mhd
27,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.194440094986948071643661798326.mhd
28,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.241570579760883349458693655367.mhd
29,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.108197895896446896160048741492.mhd
30,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.310548927038333190233889983845.mhd
31,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.202811684116768680758082619196.mhd
32,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.534006575256943390479252771547.mhd
33,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.188209889686363159853715266493.mhd
34,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.154677396354641150280013275227.mhd
35,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.395623571499047043765181005112.mhd
36,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.137763212752154081977261297097.mhd
37,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.724251104254976962355686318345.mhd
38,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.313835996725364342034830119490.mhd
39,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.805925269324902055566754756843.mhd
40,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.905371958588660410240398317235.mhd
41,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.293757615532132808762625441831.mhd
42,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.979083010707182900091062408058.mhd
43,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.295420274214095686326263147663.mhd
44,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.303421828981831854739626597495.mhd
45,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.294188507421106424248264912111.mhd
46,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.272042302501586336192628818865.mhd
47,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.213140617640021803112060161074.mhd
48,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.898642529028521482602829374444.mhd
49,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.141069661700670042960678408762.mhd
50,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.534083630500464995109143618896.mhd
51,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.249530219848512542668813996730.mhd
52,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.323302986710576400812869264321.mhd
53,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.868211851413924881662621747734.mhd
54,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.621916089407825046337959219998.mhd
55,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.566816709786169715745131047975.mhd
56,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.187451715205085403623595258748.mhd
57,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.188376349804761988217597754952.mhd
58,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.295298571102631191572192562523.mhd
59,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.128023902651233986592378348912.mhd
60,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.126264578931778258890371755354.mhd
61,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732.mhd
62,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.129055977637338639741695800950.mhd
63,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.305858704835252413616501469037.mhd
64,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.219909753224298157409438012179.mhd
65,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.130438550890816550994739120843.mhd
66,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.323859712968543712594665815359.mhd
67,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.250397690690072950000431855143.mhd
68,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.287966244644280690737019247886.mhd
69,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.768276876111112560631432843476.mhd
70,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.183843376225716802567192412456.mhd
71,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.306948744223170422945185006551.mhd
72,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.282512043257574309474415322775.mhd
73,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.108231420525711026834210228428.mhd
74,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.128059192202504367870633619224.mhd
75,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.309672797925724868457151381131.mhd
76,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.334105754605642100456249422350.mhd
77,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.208737629504245244513001631764.mhd
78,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.674809958213117379592437424616.mhd
79,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.801945620899034889998809817499.mhd
80,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.756684168227383088294595834066.mhd
81,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.179162671133894061547290922949.mhd
82,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.655242448149322898770987310561.mhd
83,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.935683764293840351008008793409.mhd
84,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.193808128386712859512130599234.mhd
85,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.910607280658963002048724648683.mhd
86,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.270390050141765094612147226290.mhd
87,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.183184435049555024219115904825.mhd
88,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.168605638657404145360275453085.mhd
89,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.168037818448885856452592057286.mhd
90,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.121824995088859376862458155637.mhd
91,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.163994693532965040247348251579.mhd
92,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.169128136262002764211589185953.mhd
93,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.616033753016904899083676284739.mhd
94,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.325164338773720548739146851679.mhd
95,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.272961322147784625028175033640.mhd
96,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.970264865033574190975654369557.mhd
97,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.561458563853929400124470098603.mhd
98,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.310395752124284049604069960014.mhd
99,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.114218724025049818743426522343.mhd
100,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.231002159523969307155990628066.mhd
101,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.892375496445736188832556446335.mhd
102,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.179049373636438705059720603192.mhd
103,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.226456162308124493341905600418.mhd
104,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.106719103982792863757268101375.mhd
105,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.173106154739244262091404659845.mhd
106,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.690929968028676628605553365896.mhd
107,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.206539885154775002929031534291.mhd
108,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.128881800399702510818644205032.mhd
109,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.145759169833745025756371695397.mhd
110,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.259543921154154401875872845498.mhd
111,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.479402560265137632920333093071.mhd
112,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.275766318636944297772360944907.mhd
113,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.162718361851587451505896742103.mhd
114,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.861997885565255340442123234170.mhd
115,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.458525794434429386945463560826.mhd
116,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.134370886216012873213579659366.mhd
117,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.314789075871001236641548593165.mhd
118,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.503980049263254396021509831276.mhd
119,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.336894364358709782463716339027.mhd
120,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.162901839201654862079549658100.mhd
121,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.104562737760173137525888934217.mhd
122,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.663019255629770796363333877035.mhd
123,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.315214756157389122376518747372.mhd
124,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.247769845138587733933485039556.mhd
125,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.952265563663939823135367733681.mhd
126,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.243094273518213382155770295147.mhd
127,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.326057189095429101398977448288.mhd
128,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.217955041973656886482758642958.mhd
129,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.270152671889301412052226973069.mhd
130,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.283569726884265181140892667131.mhd
131,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.199171741859530285887752432478.mhd
132,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.232071262560365924176679652948.mhd
133,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.240969450540588211676803094518.mhd
134,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.299767339686526858593516834230.mhd
